id,route,title,template,defaultChecks,stressChecks,defaultDocumentOverflowChecks,defaultClipCandidateChecks,defaultOverlapCandidateChecks,mobileAxeViolations,qaCount,note
"employment-checkup","/checkups/employment/","채용검진·제출 서류","checkup-detail","16","6","0","0","0","0","3","공통 UI 문제는 본문 보고서 참고"
"national-checkup","/checkups/national/","국가건강검진","checkup-detail","16","6","0","0","0","0","3","공통 UI 문제는 본문 보고서 참고"
"tuberculosis-screening","/checkups/tuberculosis/","기숙사 결핵검진","checkup-detail","16","6","0","0","0","0","3","공통 UI 문제는 본문 보고서 참고"
"visa-checkup","/checkups/visa/","외국인 비자검진","checkup-detail","16","6","0","0","0","0","3","공통 UI 문제는 본문 보고서 참고"
"conditions","/conditions/","내과 진료 안내","condition-index","16","6","0","0","0","0","0","공통 UI 문제는 본문 보고서 참고"
"acute-care","/conditions/acute-care/","급성기질환 진료","condition-detail","16","6","0","0","0","0","3","공통 UI 문제는 본문 보고서 참고"
"chronic-cough","/conditions/chronic-cough/","만성기침 진료","condition-detail","16","6","0","0","0","0","3","공통 UI 문제는 본문 보고서 참고"
"heart-disease","/conditions/heart-disease/","심장질환 진료","condition-detail","16","6","0","0","0","0","3","공통 UI 문제는 본문 보고서 참고"
"content-policy","/content-policy/","의료정보 작성·검수 원칙","policy","16","6","0","0","0","0","0","공통 UI 문제는 본문 보고서 참고"
"doctors","/doctors/","의료진 소개","physician-index","16","6","0","0","0","0","0","공통 UI 문제는 본문 보고서 참고"
"doctor-park-jongseol","/doctors/park-jongseol/","박종설 대표원장","physician-detail","16","6","0","0","0","0","0","공통 UI 문제는 본문 보고서 참고"
"doctor-park-rayoung","/doctors/park-rayoung/","박라영 원장","physician-detail","16","6","0","0","0","0","0","공통 UI 문제는 본문 보고서 참고"
"fees","/fees/","비용·서류 발급 안내","fees","16","6","0","0","0","0","0","공통 UI 문제는 본문 보고서 참고"
"health","/health/","검사·진료 이해하기","article-index","16","6","0","0","0","0","0","공통 UI 문제는 본문 보고서 참고"
"checkup-preparation","/health/checkup-preparation-checklist/","건강검진 전 준비 확인표","article-detail","16","6","0","0","0","0","3","공통 UI 문제는 본문 보고서 참고"
"colonoscopy-preparation","/health/colonoscopy-preparation-questions/","대장내시경 준비 시 확인할 질문","article-detail","16","6","0","0","0","0","3","공통 UI 문제는 본문 보고서 참고"
"heart-test-differences","/health/heart-test-differences/","심전도·심장초음파·홀터검사의 차이","article-detail","16","6","0","0","0","0","3","공통 UI 문제는 본문 보고서 참고"
"palpitations-followup","/health/palpitations-test-followup/","검사 후에도 두근거림이 계속될 때 확인할 점","article-detail","16","6","0","0","0","0","3","공통 UI 문제는 본문 보고서 참고"
"notices","/notices/","공지사항","notice-index","16","6","0","0","0","0","0","공통 UI 문제는 본문 보고서 참고"
"notice-closure-20250624","/notices/closure-2025-06-24/","2025년 6월 24일 오후 휴진 기록","notice-detail","16","6","0","0","0","0","0","공통 UI 문제는 본문 보고서 참고"
"notice-drug-certificate","/notices/drug-certificate/","마약검사 영문서류 발급 안내","notice-detail","16","6","0","0","0","0","0","공통 UI 문제는 본문 보고서 참고"
"notice-mammography","/notices/mammography-equipment/","디지털 유방촬영 장비 도입 안내","notice-detail","16","6","0","0","0","0","0","공통 UI 문제는 본문 보고서 참고"
"notice-pathfast","/notices/pathfast/","심장 표지자 검사 장비 도입 안내","notice-detail","16","6","0","0","0","0","0","공통 UI 문제는 본문 보고서 참고"
"notice-screening-evaluation","/notices/screening-evaluation/","국가검진기관 평가 안내","notice-detail","16","6","0","0","0","0","0","공통 UI 문제는 본문 보고서 참고"
"privacy","/privacy/","개인정보 처리 안내","policy","16","6","0","0","0","0","0","공통 UI 문제는 본문 보고서 참고"
"search","/search/","사이트 검색","search","16","6","0","0","0","0","0","공통 UI 문제는 본문 보고서 참고"
"services","/services/","진료·검사 안내","service-index","16","6","0","0","0","0","0","공통 UI 문제는 본문 보고서 참고"
"cancer-support","/services/cancer-support/","암환자 진료·케어 안내","service-detail","16","6","0","0","0","0","3","공통 UI 문제는 본문 보고서 참고"
"endoscopy","/services/endoscopy/","위·대장내시경 안내","service-hub","16","6","0","0","0","0","0","공통 UI 문제는 본문 보고서 참고"
"colonoscopy","/services/endoscopy/colonoscopy/","대장내시경","service-detail","16","6","0","0","0","0","3","공통 UI 문제는 본문 보고서 참고"
"gastroscopy","/services/endoscopy/gastroscopy/","위내시경","service-detail","16","6","0","0","0","0","3","공통 UI 문제는 본문 보고서 참고"
"heart-index","/services/heart/","심장검사 안내","service-hub","16","6","0","0","0","0","0","공통 UI 문제는 본문 보고서 참고"
"abi","/services/heart/arterial-assessment/","동맥경화도 검사","service-detail","16","6","0","0","0","0","3","공통 UI 문제는 본문 보고서 참고"
"cardiac-markers","/services/heart/cardiac-markers/","심장 표지자 검사","service-detail","16","6","0","0","0","0","3","공통 UI 문제는 본문 보고서 참고"
"carotid","/services/heart/carotid-ultrasound/","경동맥 초음파","service-detail","16","6","0","0","0","0","3","공통 UI 문제는 본문 보고서 참고"
"echocardiography","/services/heart/echocardiography/","심장초음파 검사","service-detail","16","6","0","0","0","0","3","공통 UI 문제는 본문 보고서 참고"
"hrv","/services/heart/heart-rate-variability/","심박 변이도 검사","service-detail","16","6","0","0","0","0","3","공통 UI 문제는 본문 보고서 참고"
"holter","/services/heart/holter/","홀터검사","service-detail","16","6","0","0","0","0","3","공통 UI 문제는 본문 보고서 참고"
"ultrasound-index","/services/ultrasound/","초음파 검사 안내","service-hub","16","6","0","0","0","0","0","공통 UI 문제는 본문 보고서 참고"
"abdominal-ultrasound","/services/ultrasound/abdomen/","상·하복부 초음파","service-detail","16","6","0","0","0","0","3","공통 UI 문제는 본문 보고서 참고"
"bowel-ultrasound","/services/ultrasound/bowel/","소장·대장·맹장 초음파","service-detail","16","6","0","0","0","0","3","공통 UI 문제는 본문 보고서 참고"
"thyroid-ultrasound","/services/ultrasound/thyroid/","갑상선 초음파","service-detail","16","6","0","0","0","0","3","공통 UI 문제는 본문 보고서 참고"
"sitemap","/sitemap/","전체 페이지 안내","sitemap","16","6","0","0","0","0","0","공통 UI 문제는 본문 보고서 참고"
"visit","/visit/","진료시간·오시는 길","visit","16","6","0","0","0","0","0","공통 UI 문제는 본문 보고서 참고"
