id,path,title,template,phase,source_urls,source_documents,schema,related_paths,sitemap_candidate,publication_status
case-165150420,/cases/case-165150420/,복강내 종괴 증례 — 진단 사례,case-detail,P2,https://yttop.co.kr/21/?bmode=view&idx=165150420&t=board,research/2026-09-11-yttop/pages/p-62fe9ad845cd.md,MedicalWebPage + BreadcrumbList (home 제외) + clinic reference,/services/ultrasound/abdomen/ | /services/ultrasound/bowel/ | /conditions/acute-care/ | /cases/ | /content-policy/,True,pending
case-165150549,/cases/case-165150549/,대장 베체트 증례 — 진단 사례,case-detail,P2,https://yttop.co.kr/21/?bmode=view&idx=165150549&t=board,research/2026-09-11-yttop/pages/p-1a00ed8694b4.md,MedicalWebPage + BreadcrumbList (home 제외) + clinic reference,/services/endoscopy/ | /services/endoscopy/gastroscopy/ | /services/endoscopy/colonoscopy/ | /cases/ | /content-policy/,True,pending
case-165150795,/cases/case-165150795/,폐렴 증례 — 진단 사례,case-detail,P2,https://yttop.co.kr/21/?bmode=view&idx=165150795&t=board,research/2026-09-11-yttop/pages/p-b319f043e02d.md,MedicalWebPage + BreadcrumbList (home 제외) + clinic reference,/conditions/acute-care/ | /conditions/chronic-cough/ | /cases/ | /content-policy/,True,pending
case-165151140,/cases/case-165151140/,비후성 심근병증 증례 — 진단 사례,case-detail,P2,https://yttop.co.kr/21/?bmode=view&idx=165151140&t=board,research/2026-09-11-yttop/pages/p-626651e1fc00.md,MedicalWebPage + BreadcrumbList (home 제외) + clinic reference,/services/heart/ | /services/heart/echocardiography/ | /conditions/heart-disease/ | /cases/ | /content-policy/,True,pending
case-165203625,/cases/case-165203625/,지속되는 두근거림으로 내원하여 진단된 심실빈맥 — 진단 사례,case-detail,P2,https://yttop.co.kr/21/?bmode=view&idx=165203625&t=board,research/2026-09-11-yttop/pages/p-cbfeab771280.md,MedicalWebPage + BreadcrumbList (home 제외) + clinic reference,/services/heart/ | /services/heart/echocardiography/ | /conditions/heart-disease/ | /cases/ | /content-policy/,True,pending
case-165203941,/cases/case-165203941/,두근거림 호흡곤란으로 내원하여 진단된 심방세동 — 진단 사례,case-detail,P2,https://yttop.co.kr/21/?bmode=view&idx=165203941&t=board,research/2026-09-11-yttop/pages/p-c2b1bb3e3cd1.md,MedicalWebPage + BreadcrumbList (home 제외) + clinic reference,/services/heart/ | /services/heart/echocardiography/ | /conditions/heart-disease/ | /cases/ | /content-policy/,True,pending
case-165204038,/cases/case-165204038/,대변에서 피가 묻어나서 시행한 대장내시경을 통해 진단 대장암 — 진단 사례,case-detail,P2,https://yttop.co.kr/21/?bmode=view&idx=165204038&t=board,research/2026-09-11-yttop/pages/p-6a7402d90570.md,MedicalWebPage + BreadcrumbList (home 제외) + clinic reference,/services/endoscopy/ | /services/endoscopy/gastroscopy/ | /services/endoscopy/colonoscopy/ | /cases/ | /content-policy/,True,pending
case-165259713,/cases/case-165259713/,생리통으로 오인된 난소종양 — 진단 사례,case-detail,P2,https://yttop.co.kr/21/?bmode=view&idx=165259713&t=board,research/2026-09-11-yttop/pages/p-4d66ddd6eee7.md,MedicalWebPage + BreadcrumbList (home 제외) + clinic reference,/services/ultrasound/abdomen/ | /services/ultrasound/bowel/ | /conditions/acute-care/ | /cases/ | /content-policy/,True,pending
case-165259783,/cases/case-165259783/,식도 점막하 종양 — 진단 사례,case-detail,P2,https://yttop.co.kr/21/?bmode=view&idx=165259783&t=board,research/2026-09-11-yttop/pages/p-8459cf3ce54a.md,MedicalWebPage + BreadcrumbList (home 제외) + clinic reference,/services/endoscopy/ | /services/endoscopy/gastroscopy/ | /services/endoscopy/colonoscopy/ | /cases/ | /content-policy/,True,pending
case-165259921,/cases/case-165259921/,대동맥 판막협착 및 대동맥판막 역류. — 진단 사례,case-detail,P2,https://yttop.co.kr/21/?bmode=view&idx=165259921&t=board,research/2026-09-11-yttop/pages/p-9d54bd156b7a.md,MedicalWebPage + BreadcrumbList (home 제외) + clinic reference,/services/heart/ | /services/heart/echocardiography/ | /conditions/heart-disease/ | /cases/ | /content-policy/,True,pending
case-165338662,/cases/case-165338662/,"상,하복부 통증으로 내원한 맹장염 — 진단 사례",case-detail,P2,https://yttop.co.kr/21/?bmode=view&idx=165338662&t=board,research/2026-09-11-yttop/pages/p-13570a51a108.md,MedicalWebPage + BreadcrumbList (home 제외) + clinic reference,/services/ultrasound/abdomen/ | /services/ultrasound/bowel/ | /conditions/acute-care/ | /cases/ | /content-policy/,True,pending
case-165338735,/cases/case-165338735/,목에 혹이 만져져요. 림프종 진단사례. — 진단 사례,case-detail,P2,https://yttop.co.kr/21/?bmode=view&idx=165338735&t=board,research/2026-09-11-yttop/pages/p-4392379aebbe.md,MedicalWebPage + BreadcrumbList (home 제외) + clinic reference,/services/ultrasound/abdomen/ | /services/ultrasound/bowel/ | /conditions/acute-care/ | /cases/ | /content-policy/,True,pending
case-165396187,/cases/case-165396187/,재발하는 뇌경색으로 내원하여 진단된 심방세동. — 진단 사례,case-detail,P2,https://yttop.co.kr/21/?bmode=view&idx=165396187&t=board,research/2026-09-11-yttop/pages/p-a5ba10f88a8f.md,MedicalWebPage + BreadcrumbList (home 제외) + clinic reference,/services/heart/ | /services/heart/echocardiography/ | /conditions/heart-disease/ | /cases/ | /content-policy/,True,pending
case-165396249,/cases/case-165396249/,식도궤양 — 진단 사례,case-detail,P2,https://yttop.co.kr/21/?bmode=view&idx=165396249&t=board,research/2026-09-11-yttop/pages/p-c3bca420a6db.md,MedicalWebPage + BreadcrumbList (home 제외) + clinic reference,/services/endoscopy/ | /services/endoscopy/gastroscopy/ | /services/endoscopy/colonoscopy/ | /cases/ | /content-policy/,True,pending
case-165396339,/cases/case-165396339/,중증 대동맥판막협착 — 진단 사례,case-detail,P2,https://yttop.co.kr/21/?bmode=view&idx=165396339&t=board,research/2026-09-11-yttop/pages/p-b01357b7f55d.md,MedicalWebPage + BreadcrumbList (home 제외) + clinic reference,/services/heart/ | /services/heart/echocardiography/ | /conditions/heart-disease/ | /cases/ | /content-policy/,True,pending
case-165407798,/cases/case-165407798/,대동맥류를 동반한 이엽성 판막증 — 진단 사례,case-detail,P2,https://yttop.co.kr/21/?bmode=view&idx=165407798&t=board,research/2026-09-11-yttop/pages/p-c7d99553a3f7.md,MedicalWebPage + BreadcrumbList (home 제외) + clinic reference,/services/heart/ | /services/heart/echocardiography/ | /conditions/heart-disease/ | /cases/ | /content-policy/,True,pending
case-165407885,/cases/case-165407885/,궤양성대장염 — 진단 사례,case-detail,P2,https://yttop.co.kr/21/?bmode=view&idx=165407885&t=board,research/2026-09-11-yttop/pages/p-adacdbf37b61.md,MedicalWebPage + BreadcrumbList (home 제외) + clinic reference,/services/endoscopy/ | /services/endoscopy/gastroscopy/ | /services/endoscopy/colonoscopy/ | /cases/ | /content-policy/,True,pending
case-165407958,/cases/case-165407958/,대장용종 절제 사례 — 진단 사례,case-detail,P2,https://yttop.co.kr/21/?bmode=view&idx=165407958&t=board,research/2026-09-11-yttop/pages/p-51bf5faeee7c.md,MedicalWebPage + BreadcrumbList (home 제외) + clinic reference,/services/endoscopy/ | /services/endoscopy/gastroscopy/ | /services/endoscopy/colonoscopy/ | /cases/ | /content-policy/,True,pending
case-167025586,/cases/case-167025586/,심근경색 진단과정 — 진단 사례,case-detail,P2,https://yttop.co.kr/21/?bmode=view&idx=167025586&t=board,research/2026-09-11-yttop/pages/p-78e5c3216fae.md,MedicalWebPage + BreadcrumbList (home 제외) + clinic reference,/services/heart/ | /services/heart/echocardiography/ | /conditions/heart-disease/ | /cases/ | /content-policy/,True,pending
checkups,/checkups/,건강검진 안내,checkup-index,P0,https://yttop.co.kr/17,research/2026-09-11-yttop/pages/p-640475d9a6fa.md,CollectionPage + BreadcrumbList (home 제외) + clinic reference,/checkups/national/ | /checkups/employment/ | /checkups/drug-screening/ | /checkups/tuberculosis/ | /checkups/visa/ | /checkups/cancer-screening/ | /health/checkup-preparation-checklist/,True,pending
cancer-screening,/checkups/cancer-screening/,암검진 안내,checkup-detail,P1,https://yttop.co.kr/30,research/2026-09-11-yttop/pages/p-32c19f63f158.md,MedicalWebPage + BreadcrumbList (home 제외) + clinic reference,/checkups/ | /checkups/national/ | /services/endoscopy/ | /notices/screening-evaluation/ | /visit/,True,pending
drug-screening,/checkups/drug-screening/,마약검사·영문서류,checkup-detail,P1,https://yttop.co.kr/33,research/2026-09-11-yttop/pages/p-7193682cfd01.md,MedicalWebPage + BreadcrumbList (home 제외) + clinic reference,/checkups/ | /checkups/employment/ | /notices/drug-certificate/ | /fees/ | /visit/,True,pending
employment-checkup,/checkups/employment/,채용검진·제출 서류,checkup-detail,P1,https://yttop.co.kr/32,research/2026-09-11-yttop/pages/p-7edf29d95df7.md,MedicalWebPage + BreadcrumbList (home 제외) + clinic reference,/checkups/ | /checkups/drug-screening/ | /checkups/tuberculosis/ | /checkups/visa/ | /fees/ | /visit/,True,pending
national-checkup,/checkups/national/,국가건강검진,checkup-detail,P0,https://yttop.co.kr/31,research/2026-09-11-yttop/pages/p-7fc0feffaab5.md,MedicalWebPage + BreadcrumbList (home 제외) + clinic reference,/checkups/ | /checkups/cancer-screening/ | /health/checkup-preparation-checklist/ | /visit/,True,pending
tuberculosis-screening,/checkups/tuberculosis/,기숙사 결핵검진,checkup-detail,P1,https://yttop.co.kr/34,research/2026-09-11-yttop/pages/p-7a26c228e179.md,MedicalWebPage + BreadcrumbList (home 제외) + clinic reference,/checkups/ | /checkups/employment/ | /fees/ | /visit/,True,pending
visa-checkup,/checkups/visa/,외국인 비자검진,checkup-detail,P1,https://yttop.co.kr/35,research/2026-09-11-yttop/pages/p-4123e08409fa.md,MedicalWebPage + BreadcrumbList (home 제외) + clinic reference,/checkups/ | /checkups/drug-screening/ | /fees/ | /visit/,True,pending
conditions,/conditions/,내과 진료 안내,condition-index,P1,https://yttop.co.kr/20,research/2026-09-11-yttop/pages/p-d8536f70a71b.md,CollectionPage + BreadcrumbList (home 제외) + clinic reference,/conditions/chronic-cough/ | /conditions/heart-disease/ | /conditions/acute-care/ | /services/cancer-support/ | /services/ | /visit/,True,pending
acute-care,/conditions/acute-care/,급성기질환 진료,condition-detail,P1,https://yttop.co.kr/46,research/2026-09-11-yttop/pages/p-6869edd4935c.md,MedicalWebPage + BreadcrumbList (home 제외) + clinic reference,/conditions/ | /services/ultrasound/bowel/ | /services/ultrasound/abdomen/ | /visit/,True,pending
chronic-cough,/conditions/chronic-cough/,만성기침 진료,condition-detail,P1,https://yttop.co.kr/28,research/2026-09-11-yttop/pages/p-dbea466485fd.md,MedicalWebPage + BreadcrumbList (home 제외) + clinic reference,/conditions/ | /conditions/acute-care/ | /visit/,True,pending
heart-disease,/conditions/heart-disease/,심장질환 진료,condition-detail,P1,https://yttop.co.kr/29,research/2026-09-11-yttop/pages/p-3c0235a5aba9.md,MedicalWebPage + BreadcrumbList (home 제외) + clinic reference,/conditions/ | /services/heart/ | /health/palpitations-test-followup/ | /doctors/park-jongseol/,True,pending
content-policy,/content-policy/,의료정보 작성·검수 원칙,policy,P0,https://yttop.co.kr/48,research/2026-09-11-yttop/pages/p-633110709766.md,WebPage + BreadcrumbList (home 제외) + clinic reference,/doctors/ | /health/ | /visit/,True,pending
doctors,/doctors/,의료진 소개,physician-index,P0,https://yttop.co.kr/48,research/2026-09-11-yttop/pages/p-633110709766.md,CollectionPage + BreadcrumbList (home 제외) + clinic reference,/doctors/park-jongseol/ | /doctors/park-rayoung/ | /visit/,True,pending
doctor-park-jongseol,/doctors/park-jongseol/,박종설 대표원장,physician-detail,P0,https://yttop.co.kr/48,research/2026-09-11-yttop/pages/p-633110709766.md,ProfilePage + Person + BreadcrumbList (home 제외) + clinic reference,/doctors/ | /services/heart/ | /services/endoscopy/ | /visit/,True,pending
doctor-park-rayoung,/doctors/park-rayoung/,박라영 원장,physician-detail,P0,https://yttop.co.kr/48,research/2026-09-11-yttop/pages/p-633110709766.md,ProfilePage + Person + BreadcrumbList (home 제외) + clinic reference,/doctors/ | /checkups/ | /visit/,True,pending
fees,/fees/,비용·서류 발급 안내,fees,P1,https://yttop.co.kr/,research/2026-09-11-yttop/pages/p-db394c63d966.md,WebPage + BreadcrumbList (home 제외) + clinic reference,/checkups/ | /services/endoscopy/ | /visit/,True,pending
health,/health/,검사·진료 이해하기,article-index,P1,https://yttop.co.kr/23 | https://yttop.co.kr/36 | https://yttop.co.kr/31,research/2026-09-11-yttop/pages/p-ac95c5ac1753.md | research/2026-09-11-yttop/pages/p-7fc0feffaab5.md | research/2026-09-11-yttop/pages/p-1f24db63fa2c.md,CollectionPage + BreadcrumbList (home 제외) + clinic reference,/health/heart-test-differences/ | /health/palpitations-test-followup/ | /health/checkup-preparation-checklist/ | /health/colonoscopy-preparation-questions/ | /content-policy/,True,pending
checkup-preparation,/health/checkup-preparation-checklist/,건강검진 전 준비 확인표,article-detail,P1,https://yttop.co.kr/31 | https://yttop.co.kr/32,research/2026-09-11-yttop/pages/p-7fc0feffaab5.md | research/2026-09-11-yttop/pages/p-7edf29d95df7.md,MedicalWebPage + BreadcrumbList (home 제외) + clinic reference,/checkups/national/ | /checkups/employment/ | /services/endoscopy/ | /visit/,True,pending
colonoscopy-preparation,/health/colonoscopy-preparation-questions/,대장내시경 준비 시 확인할 질문,article-detail,P1,https://yttop.co.kr/30 | https://yttop.co.kr/31,research/2026-09-11-yttop/pages/p-32c19f63f158.md | research/2026-09-11-yttop/pages/p-7fc0feffaab5.md,MedicalWebPage + BreadcrumbList (home 제외) + clinic reference,/services/endoscopy/colonoscopy/ | /services/endoscopy/ | /health/checkup-preparation-checklist/ | /visit/,True,pending
heart-test-differences,/health/heart-test-differences/,심전도·심장초음파·홀터검사의 차이,article-detail,P1,https://yttop.co.kr/23 | https://yttop.co.kr/36,research/2026-09-11-yttop/pages/p-ac95c5ac1753.md | research/2026-09-11-yttop/pages/p-1f24db63fa2c.md,MedicalWebPage + BreadcrumbList (home 제외) + clinic reference,/services/heart/echocardiography/ | /services/heart/holter/ | /services/heart/ | /content-policy/,True,pending
palpitations-followup,/health/palpitations-test-followup/,검사 후에도 두근거림이 계속될 때 확인할 점,article-detail,P1,https://yttop.co.kr/36 | https://yttop.co.kr/29,research/2026-09-11-yttop/pages/p-3c0235a5aba9.md | research/2026-09-11-yttop/pages/p-1f24db63fa2c.md,MedicalWebPage + BreadcrumbList (home 제외) + clinic reference,/services/heart/holter/ | /conditions/heart-disease/ | /visit/,True,pending
notices,/notices/,공지사항,notice-index,P0,https://yttop.co.kr/44,research/2026-09-11-yttop/pages/p-3d3e7b3ccb84.md,CollectionPage + BreadcrumbList (home 제외) + clinic reference,/visit/ | /notices/screening-evaluation/ | /notices/drug-certificate/ | /notices/pathfast/ | /notices/closure-2025-06-24/ | /notices/mammography-equipment/,True,pending
notice-closure-20250624,/notices/closure-2025-06-24/,2025년 6월 24일 오후 휴진 기록,notice-detail,P0,https://yttop.co.kr/44/?bmode=view&idx=165787604&t=board,research/2026-09-11-yttop/pages/p-bcfbbcb79756.md,WebPage + BreadcrumbList (home 제외) + clinic reference,/visit/ | /notices/,False,pending
notice-drug-certificate,/notices/drug-certificate/,마약검사 영문서류 발급 안내,notice-detail,P0,https://yttop.co.kr/44/?bmode=view&idx=172420773&t=board,research/2026-09-11-yttop/pages/p-17e441447746.md,WebPage + BreadcrumbList (home 제외) + clinic reference,/checkups/drug-screening/ | /checkups/employment/,True,pending
notice-mammography,/notices/mammography-equipment/,디지털 유방촬영 장비 도입 안내,notice-detail,P0,https://yttop.co.kr/44/?bmode=view&idx=165253784&t=board,research/2026-09-11-yttop/pages/p-b87a0477e07a.md,WebPage + BreadcrumbList (home 제외) + clinic reference,/checkups/national/ | /checkups/cancer-screening/,True,pending
notice-pathfast,/notices/pathfast/,심장 표지자 검사 장비 도입 안내,notice-detail,P0,https://yttop.co.kr/44/?bmode=view&idx=166166318&t=board,research/2026-09-11-yttop/pages/p-3aadf659fd5d.md,WebPage + BreadcrumbList (home 제외) + clinic reference,/services/heart/cardiac-markers/ | /services/heart/,True,pending
notice-screening-evaluation,/notices/screening-evaluation/,국가검진기관 평가 안내,notice-detail,P0,https://yttop.co.kr/44/?bmode=view&idx=172420973&t=board,research/2026-09-11-yttop/pages/p-8a81def8eb2e.md,WebPage + BreadcrumbList (home 제외) + clinic reference,/checkups/national/ | /checkups/cancer-screening/,True,pending
privacy,/privacy/,개인정보 처리 안내,policy,P0,https://yttop.co.kr/,research/2026-09-11-yttop/pages/p-db394c63d966.md,WebPage + BreadcrumbList (home 제외) + clinic reference,/content-policy/ | /visit/,True,pending
search,/search/,사이트 검색,search,P2,https://yttop.co.kr/,research/2026-09-11-yttop/pages/p-db394c63d966.md,CollectionPage + BreadcrumbList (home 제외) + clinic reference,/services/ | /checkups/ | /health/ | /sitemap/,False,pending
services,/services/,진료·검사 안내,service-index,P0,https://yttop.co.kr/18 | https://yttop.co.kr/24 | https://yttop.co.kr/20 | https://yttop.co.kr/47,research/2026-09-11-yttop/pages/p-cc6a8782fb53.md | research/2026-09-11-yttop/pages/p-d8536f70a71b.md | research/2026-09-11-yttop/pages/p-0d2f9d9a903c.md | research/2026-09-11-yttop/pages/p-97cd7f139f7c.md,CollectionPage + BreadcrumbList (home 제외) + clinic reference,/services/heart/ | /services/ultrasound/ | /services/endoscopy/ | /conditions/ | /services/cancer-support/ | /checkups/,True,pending
cancer-support,/services/cancer-support/,암환자 진료·케어 안내,service-detail,P1,https://yttop.co.kr/47,research/2026-09-11-yttop/pages/p-97cd7f139f7c.md,MedicalWebPage + BreadcrumbList (home 제외) + clinic reference,/conditions/ | /visit/,True,pending
endoscopy,/services/endoscopy/,위·대장내시경 안내,service-hub,P1,https://yttop.co.kr/ | https://yttop.co.kr/30 | https://yttop.co.kr/31,research/2026-09-11-yttop/pages/p-db394c63d966.md | research/2026-09-11-yttop/pages/p-32c19f63f158.md | research/2026-09-11-yttop/pages/p-7fc0feffaab5.md,MedicalWebPage + BreadcrumbList (home 제외) + clinic reference,/services/endoscopy/gastroscopy/ | /services/endoscopy/colonoscopy/ | /health/colonoscopy-preparation-questions/ | /checkups/cancer-screening/ | /visit/,True,pending
colonoscopy,/services/endoscopy/colonoscopy/,대장내시경,service-detail,P1,https://yttop.co.kr/30 | https://yttop.co.kr/31,research/2026-09-11-yttop/pages/p-32c19f63f158.md | research/2026-09-11-yttop/pages/p-7fc0feffaab5.md,MedicalWebPage + BreadcrumbList (home 제외) + clinic reference,/services/endoscopy/ | /health/colonoscopy-preparation-questions/ | /checkups/cancer-screening/ | /visit/,True,pending
gastroscopy,/services/endoscopy/gastroscopy/,위내시경,service-detail,P1,https://yttop.co.kr/30 | https://yttop.co.kr/31,research/2026-09-11-yttop/pages/p-32c19f63f158.md | research/2026-09-11-yttop/pages/p-7fc0feffaab5.md,MedicalWebPage + BreadcrumbList (home 제외) + clinic reference,/services/endoscopy/ | /checkups/cancer-screening/ | /health/checkup-preparation-checklist/ | /visit/,True,pending
heart-index,/services/heart/,심장검사 안내,service-hub,P0,https://yttop.co.kr/18,research/2026-09-11-yttop/pages/p-cc6a8782fb53.md,MedicalWebPage + BreadcrumbList (home 제외) + clinic reference,/services/heart/echocardiography/ | /services/heart/holter/ | /services/heart/carotid-ultrasound/ | /services/heart/heart-rate-variability/ | /services/heart/arterial-assessment/ | /services/heart/cardiac-markers/ | /conditions/heart-disease/ | /doctors/park-jongseol/,True,pending
abi,/services/heart/arterial-assessment/,동맥경화도 검사,service-detail,P1,https://yttop.co.kr/39,research/2026-09-11-yttop/pages/p-bebdde1f7726.md,MedicalWebPage + BreadcrumbList (home 제외) + clinic reference,/services/heart/ | /services/heart/carotid-ultrasound/ | /visit/,True,pending
cardiac-markers,/services/heart/cardiac-markers/,심장 표지자 검사,service-detail,P1,https://yttop.co.kr/40,research/2026-09-11-yttop/pages/p-a261b16ada34.md,MedicalWebPage + BreadcrumbList (home 제외) + clinic reference,/services/heart/ | /conditions/heart-disease/ | /notices/pathfast/ | /visit/,True,pending
carotid,/services/heart/carotid-ultrasound/,경동맥 초음파,service-detail,P1,https://yttop.co.kr/37,research/2026-09-11-yttop/pages/p-662713325797.md,MedicalWebPage + BreadcrumbList (home 제외) + clinic reference,/services/heart/ | /services/heart/arterial-assessment/ | /visit/,True,pending
echocardiography,/services/heart/echocardiography/,심장초음파 검사,service-detail,P0,https://yttop.co.kr/23,research/2026-09-11-yttop/pages/p-ac95c5ac1753.md,MedicalWebPage + BreadcrumbList (home 제외) + clinic reference,/services/heart/ | /services/heart/holter/ | /health/heart-test-differences/ | /doctors/park-jongseol/ | /visit/,True,pending
hrv,/services/heart/heart-rate-variability/,심박 변이도 검사,service-detail,P1,https://yttop.co.kr/38,research/2026-09-11-yttop/pages/p-fba3e667d9b9.md,MedicalWebPage + BreadcrumbList (home 제외) + clinic reference,/services/heart/ | /services/heart/holter/ | /visit/,True,pending
holter,/services/heart/holter/,홀터검사,service-detail,P0,https://yttop.co.kr/36,research/2026-09-11-yttop/pages/p-1f24db63fa2c.md,MedicalWebPage + BreadcrumbList (home 제외) + clinic reference,/services/heart/ | /health/palpitations-test-followup/ | /services/heart/echocardiography/ | /visit/,True,pending
ultrasound-index,/services/ultrasound/,초음파 검사 안내,service-hub,P1,https://yttop.co.kr/24,research/2026-09-11-yttop/pages/p-0d2f9d9a903c.md,MedicalWebPage + BreadcrumbList (home 제외) + clinic reference,/services/ultrasound/abdomen/ | /services/ultrasound/thyroid/ | /services/ultrasound/bowel/ | /services/heart/echocardiography/ | /visit/,True,pending
abdominal-ultrasound,/services/ultrasound/abdomen/,상·하복부 초음파,service-detail,P1,https://yttop.co.kr/25,research/2026-09-11-yttop/pages/p-c32f23abb056.md,MedicalWebPage + BreadcrumbList (home 제외) + clinic reference,/services/ultrasound/ | /services/ultrasound/bowel/ | /conditions/acute-care/ | /visit/,True,pending
bowel-ultrasound,/services/ultrasound/bowel/,소장·대장·맹장 초음파,service-detail,P1,https://yttop.co.kr/27,research/2026-09-11-yttop/pages/p-f3b3b057bb95.md,MedicalWebPage + BreadcrumbList (home 제외) + clinic reference,/services/ultrasound/ | /services/endoscopy/ | /conditions/acute-care/ | /visit/,True,pending
thyroid-ultrasound,/services/ultrasound/thyroid/,갑상선 초음파,service-detail,P1,https://yttop.co.kr/26,research/2026-09-11-yttop/pages/p-29ff6215119c.md,MedicalWebPage + BreadcrumbList (home 제외) + clinic reference,/services/ultrasound/ | /visit/,True,pending
sitemap,/sitemap/,전체 페이지 안내,sitemap,P1,https://yttop.co.kr/,research/2026-09-11-yttop/pages/p-db394c63d966.md,CollectionPage + BreadcrumbList (home 제외) + clinic reference,/ | /services/ | /checkups/ | /health/ | /cases/ | /notices/,True,pending
visit,/visit/,진료시간·오시는 길,visit,P0,https://yttop.co.kr/42 | https://yttop.co.kr/43,research/2026-09-11-yttop/pages/p-fe8b82f8fca1.md | research/2026-09-11-yttop/pages/p-02bb2fe60567.md,WebPage + BreadcrumbList (home 제외) + clinic reference,/ | /checkups/ | /services/heart/echocardiography/ | /notices/,True,pending
